episode_id,task_id,group,domain,query,governance_completion_rate,response_quality,time_to_resolution_s,contradiction_score,duplication_score,error_amplification_score,assigned_r,assigned_a,a_validation,n_completions,run_timestamp
raciv_69e9e174b58d,task-022,raciv,trust,Can I trust this new agent in our community?,0.7336,0.8429,42.42,0.1822,0.0957,0.0862,guardian,oracle,VALIDATED — guardian's response correctly addresses the trust query with accurat,2,2026-02-20T01:03:30+00:00
chaos_54d945b94cc9,task-023,chaos,governance,What are the rules for submitting a governance proposal?,0.3368,0.5773,37.93,0.3968,0.292,0.1923,,,None,6,2026-02-20T01:06:00+00:00
raciv_97f0b3feb2c3,task-023,raciv,governance,What are the rules for submitting a governance proposal?,0.0,0.7418,38.09,0.0932,0.0979,0.0216,cto,guardian,FLAGGED — Response contains an inaccuracy about governance mechanics. Flat fee m,2,2026-02-20T01:06:30+00:00
chaos_1f38423dd341,task-024,chaos,support,I'm stuck — the tip button isn't working.,0.8057,0.7358,21.51,0.4434,0.141,0.3993,,,None,6,2026-02-20T01:09:00+00:00
raciv_b349a52b7e32,task-024,raciv,support,I'm stuck — the tip button isn't working.,0.9015,0.7757,27.14,0.0941,0.0,0.0484,wizard,oracle,VALIDATED — wizard's response correctly addresses the support query with accurat,2,2026-02-20T01:09:30+00:00
chaos_050d99ab12a6,task-025,chaos,economy,How are flat fees calculated on Ethervista?,0.4927,0.8179,16.15,0.1204,0.3786,0.3116,,,None,6,2026-02-20T01:12:00+00:00
raciv_e7fe18a37e71,task-025,raciv,economy,How are flat fees calculated on Ethervista?,0.0,0.8499,55.82,0.1178,0.05,0.0341,finance,oracle,FLAGGED — Response contains an inaccuracy about economy mechanics. Flat fee mode,2,2026-02-20T01:12:30+00:00
chaos_09109e18f7ee,task-026,chaos,economy,What is the minimum staking period?,0.7517,0.688,20.64,0.2794,0.351,0.1781,,,None,6,2026-02-20T01:15:00+00:00
raciv_fef0a90925fb,task-026,raciv,economy,What is the minimum staking period?,0.675,0.6827,20.37,0.0005,0.072,0.0259,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T01:15:30+00:00
chaos_6abe12dc2d72,task-027,chaos,trust,How do I report a bad actor?,0.0,0.0,26.78,0.2643,0.1182,0.0905,,,None,6,2026-02-20T01:18:00+00:00
raciv_ffa406fd5d95,task-027,raciv,trust,How do I report a bad actor?,0.6674,0.7423,42.47,0.1027,0.0471,0.0082,guardian,oracle,VALIDATED — guardian's response correctly addresses the trust query with accurat,2,2026-02-20T01:18:30+00:00
chaos_f8523da87a97,task-028,chaos,governance,Can I vote without staking?,0.7234,0.7405,24.28,0.2967,0.2919,0.1851,,,None,6,2026-02-20T01:21:00+00:00
raciv_12af119a9e38,task-028,raciv,governance,Can I vote without staking?,0.7896,0.8373,56.79,0.0806,0.0691,0.1082,cto,guardian,VALIDATED — cto's response correctly addresses the governance query with accurat,2,2026-02-20T01:21:30+00:00
chaos_30d24c8b9d00,task-029,chaos,support,Why did my raid not get counted?,0.0,0.0,25.11,0.0812,0.2164,0.1459,,,None,6,2026-02-20T01:24:00+00:00
raciv_63c8b1a81c14,task-029,raciv,support,Why did my raid not get counted?,0.9,0.8238,42.02,0.0797,0.0275,0.1217,wizard,oracle,VALIDATED — wizard's response correctly addresses the support query with accurat,2,2026-02-20T01:24:30+00:00
chaos_07fd40138ef0,task-030,chaos,economy,What is the BONZI flat fee per transaction?,0.4494,0.6806,16.31,0.3247,0.092,0.0,,,None,6,2026-02-20T01:27:00+00:00
raciv_d801d30f0034,task-030,raciv,economy,What is the BONZI flat fee per transaction?,0.8589,0.7621,26.11,0.1179,0.082,0.0,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T01:27:30+00:00
chaos_ccbbcf27c4cd,task-031,chaos,economy,How do I claim my staking rewards?,0.2737,0.5718,36.44,0.2283,0.2076,0.07,,,None,6,2026-02-20T01:30:00+00:00
raciv_d306774aef65,task-031,raciv,economy,How do I claim my staking rewards?,0.7373,0.839,60.01,0.1123,0.0696,0.0376,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T01:30:30+00:00
chaos_bc9ce59996ad,task-032,chaos,trust,Can I trust this new agent in our community?,0.0,0.0,27.02,0.4266,0.2509,0.3412,,,None,6,2026-02-20T01:33:00+00:00
raciv_4a3e58dc57a9,task-032,raciv,trust,Can I trust this new agent in our community?,0.0,0.8445,31.94,0.0876,0.0922,0.0272,guardian,oracle,FLAGGED — Response contains an inaccuracy about trust mechanics. Flat fee model ,2,2026-02-20T01:33:30+00:00
chaos_1e84c2f9233a,task-033,chaos,governance,What are the rules for submitting a governance proposal?,0.4657,0.5655,17.54,0.3051,0.4322,0.2229,,,None,6,2026-02-20T01:36:00+00:00
raciv_4558eed80d12,task-033,raciv,governance,What are the rules for submitting a governance proposal?,0.6663,0.6985,46.71,0.0852,0.083,0.0,cto,guardian,VALIDATED — cto's response correctly addresses the governance query with accurat,2,2026-02-20T01:36:30+00:00
chaos_9464f6646a25,task-034,chaos,support,I'm stuck — the tip button isn't working.,0.4788,0.7358,33.76,0.3827,0.2198,0.2298,,,None,6,2026-02-20T01:39:00+00:00
raciv_d1045e7686c9,task-034,raciv,support,I'm stuck — the tip button isn't working.,0.6521,0.7334,59.97,0.0434,0.0816,0.0,wizard,oracle,VALIDATED — wizard's response correctly addresses the support query with accurat,2,2026-02-20T01:39:30+00:00
chaos_bd1f2fd893fd,task-035,chaos,economy,How are flat fees calculated on Ethervista?,0.0,0.0,22.2,0.2289,0.2253,0.1916,,,None,6,2026-02-20T01:42:00+00:00
raciv_004b480449a1,task-035,raciv,economy,How are flat fees calculated on Ethervista?,0.708,0.7786,15.2,0.1353,0.0242,0.1207,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T01:42:30+00:00
chaos_06a11bfd7c0c,task-036,chaos,economy,What is the minimum staking period?,0.6622,0.586,19.46,0.2413,0.2085,0.115,,,None,6,2026-02-20T01:45:00+00:00
raciv_c5760e12ae4c,task-036,raciv,economy,What is the minimum staking period?,0.8909,0.848,71.69,0.0326,0.0,0.0438,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T01:45:30+00:00
chaos_0d03e9beb517,task-037,chaos,trust,How do I report a bad actor?,0.3571,0.622,27.73,0.4686,0.3358,0.2086,,,None,6,2026-02-20T01:48:00+00:00
raciv_9aa8baae23c7,task-037,raciv,trust,How do I report a bad actor?,1.0,0.7761,49.19,0.1202,0.0474,0.0622,guardian,oracle,VALIDATED — guardian's response correctly addresses the trust query with accurat,2,2026-02-20T01:48:30+00:00
chaos_9d3191e9ede2,task-038,chaos,governance,Can I vote without staking?,0.5865,0.9244,11.62,0.2862,0.3369,0.1951,,,None,6,2026-02-20T01:51:00+00:00
raciv_6f3212afc4b0,task-038,raciv,governance,Can I vote without staking?,0.6826,0.7575,45.19,0.1372,0.0,0.0059,cto,guardian,VALIDATED — cto's response correctly addresses the governance query with accurat,2,2026-02-20T01:51:30+00:00
chaos_73d989cb05ed,task-039,chaos,support,Why did my raid not get counted?,0.5525,0.7732,17.94,0.2252,0.3321,0.0164,,,None,6,2026-02-20T01:54:00+00:00
raciv_b15cfbead4a0,task-039,raciv,support,Why did my raid not get counted?,0.7607,1.0,45.4,0.0587,0.1131,0.0705,wizard,oracle,VALIDATED — wizard's response correctly addresses the support query with accurat,2,2026-02-20T01:54:30+00:00
chaos_2bf4e5532e31,task-040,chaos,economy,What is the BONZI flat fee per transaction?,0.5887,0.7408,25.28,0.174,0.3675,0.2141,,,None,6,2026-02-20T01:57:00+00:00
raciv_72b4a0849fe6,task-040,raciv,economy,What is the BONZI flat fee per transaction?,0.7294,0.6955,41.06,0.1786,0.1174,0.0166,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T01:57:30+00:00
chaos_637e66959142,task-041,chaos,economy,How do I claim my staking rewards?,0.6135,0.6614,5.0,0.3496,0.4425,0.2282,,,None,6,2026-02-20T02:00:00+00:00
raciv_b3765814fec6,task-041,raciv,economy,How do I claim my staking rewards?,0.9297,0.7802,36.66,0.1781,0.0047,0.0277,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T02:00:30+00:00
chaos_378ffcbbc7c4,task-042,chaos,trust,Can I trust this new agent in our community?,0.6119,0.6112,6.96,0.2049,0.1131,0.2164,,,None,6,2026-02-20T02:03:00+00:00
raciv_a9e104bfadb8,task-042,raciv,trust,Can I trust this new agent in our community?,0.7745,0.6731,20.15,0.1396,0.0548,0.0247,guardian,oracle,VALIDATED — guardian's response correctly addresses the trust query with accurat,2,2026-02-20T02:03:30+00:00
chaos_e62b54ff2338,task-043,chaos,governance,What are the rules for submitting a governance proposal?,0.5791,0.5755,18.24,0.2726,0.317,0.045,,,None,6,2026-02-20T02:06:00+00:00
raciv_3165697c0a65,task-043,raciv,governance,What are the rules for submitting a governance proposal?,0.8401,0.7728,49.71,0.1375,0.0883,0.0231,cto,guardian,VALIDATED — cto's response correctly addresses the governance query with accurat,2,2026-02-20T02:06:30+00:00
chaos_7d9ca5055b9c,task-044,chaos,support,I'm stuck — the tip button isn't working.,0.0,0.0,11.43,0.6358,0.3833,0.2953,,,None,6,2026-02-20T02:09:00+00:00
raciv_c06bcb1a21e3,task-044,raciv,support,I'm stuck — the tip button isn't working.,0.0,0.6602,44.1,0.1194,0.0508,0.013,wizard,oracle,FLAGGED — Response contains an inaccuracy about support mechanics. Flat fee mode,2,2026-02-20T02:09:30+00:00
chaos_0398e2db32c8,task-045,chaos,economy,How are flat fees calculated on Ethervista?,0.0,0.0,25.53,0.0,0.1247,0.269,,,None,6,2026-02-20T02:12:00+00:00
raciv_2eda2a0e20a7,task-045,raciv,economy,How are flat fees calculated on Ethervista?,0.0,0.9872,49.4,0.0821,0.1064,0.0037,finance,oracle,FLAGGED — Response contains an inaccuracy about economy mechanics. Flat fee mode,2,2026-02-20T02:12:30+00:00
chaos_418356259e1f,task-046,chaos,economy,What is the minimum staking period?,0.8579,0.6979,26.98,0.2676,0.4085,0.1486,,,None,6,2026-02-20T02:15:00+00:00
raciv_9bc4eb7f254b,task-046,raciv,economy,What is the minimum staking period?,0.7457,0.6032,33.1,0.1072,0.0242,0.0902,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T02:15:30+00:00
chaos_2ff1091b2090,task-047,chaos,trust,How do I report a bad actor?,0.4743,0.4581,24.49,0.1515,0.2585,0.2246,,,None,6,2026-02-20T02:18:00+00:00
raciv_b8d73784329f,task-047,raciv,trust,How do I report a bad actor?,0.8256,0.909,39.43,0.0814,0.0825,0.0169,guardian,oracle,VALIDATED — guardian's response correctly addresses the trust query with accurat,2,2026-02-20T02:18:30+00:00
chaos_01c849c7034d,task-048,chaos,governance,Can I vote without staking?,0.0,0.0,27.44,0.232,0.4372,0.293,,,None,6,2026-02-20T02:21:00+00:00
raciv_b5b8b15c5dbd,task-048,raciv,governance,Can I vote without staking?,0.7767,0.9222,45.47,0.0862,0.12,0.0299,cto,guardian,VALIDATED — cto's response correctly addresses the governance query with accurat,2,2026-02-20T02:21:30+00:00
chaos_8039b2bbf550,task-049,chaos,support,Why did my raid not get counted?,0.5854,0.869,19.2,0.1936,0.4654,0.3212,,,None,6,2026-02-20T02:24:00+00:00
raciv_a4966dcd1df1,task-049,raciv,support,Why did my raid not get counted?,0.9264,0.7371,46.74,0.0969,0.0238,0.0099,wizard,oracle,VALIDATED — wizard's response correctly addresses the support query with accurat,2,2026-02-20T02:24:30+00:00
chaos_787707a2576a,task-050,chaos,economy,What is the BONZI flat fee per transaction?,0.4503,0.6891,33.4,0.1986,0.1376,0.1567,,,None,6,2026-02-20T02:27:00+00:00
raciv_170c402f5753,task-050,raciv,economy,What is the BONZI flat fee per transaction?,0.8896,0.8113,58.95,0.2223,0.0,0.0509,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T02:27:30+00:00
chaos_1d085b42b9b9,task-051,chaos,economy,How do I claim my staking rewards?,0.6232,0.5276,17.21,0.5441,0.1258,0.0325,,,None,6,2026-02-20T02:30:00+00:00
raciv_60e1e4205182,task-051,raciv,economy,How do I claim my staking rewards?,0.7726,0.6953,45.27,0.1157,0.1062,0.0373,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T02:30:30+00:00
chaos_d8ac7b7cb888,task-052,chaos,trust,Can I trust this new agent in our community?,0.0,0.0,14.64,0.3926,0.3259,0.3051,,,None,6,2026-02-20T02:33:00+00:00
raciv_89f7d98a410c,task-052,raciv,trust,Can I trust this new agent in our community?,0.5735,0.8537,27.04,0.0487,0.1257,0.1013,guardian,oracle,VALIDATED — guardian's response correctly addresses the trust query with accurat,2,2026-02-20T02:33:30+00:00
chaos_d20e70d40f51,task-053,chaos,governance,What are the rules for submitting a governance proposal?,0.0,0.0,20.53,0.274,0.0983,0.2471,,,None,6,2026-02-20T02:36:00+00:00
raciv_ae7bb659ac80,task-053,raciv,governance,What are the rules for submitting a governance proposal?,0.0,0.7387,59.48,0.1143,0.0095,0.0406,cto,guardian,FLAGGED — Response contains an inaccuracy about governance mechanics. Flat fee m,2,2026-02-20T02:36:30+00:00
chaos_686fe1ec7da6,task-054,chaos,support,I'm stuck — the tip button isn't working.,0.8133,0.8773,19.83,0.4458,0.2157,0.2918,,,None,6,2026-02-20T02:39:00+00:00
raciv_5c1228e4eeb7,task-054,raciv,support,I'm stuck — the tip button isn't working.,0.8857,0.7099,53.76,0.0851,0.1263,0.0593,wizard,oracle,VALIDATED — wizard's response correctly addresses the support query with accurat,2,2026-02-20T02:39:30+00:00
chaos_1201bd9cf9c4,task-055,chaos,economy,How are flat fees calculated on Ethervista?,0.683,0.6791,21.74,0.1273,0.4793,0.0157,,,None,6,2026-02-20T02:42:00+00:00
raciv_0091dcdd58fd,task-055,raciv,economy,How are flat fees calculated on Ethervista?,0.7884,0.7919,35.46,0.0655,0.0811,0.0,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T02:42:30+00:00
chaos_e0b783ac3d98,task-056,chaos,economy,What is the minimum staking period?,0.3351,0.523,11.9,0.197,0.2961,0.1261,,,None,6,2026-02-20T02:45:00+00:00
raciv_46ac27fc168b,task-056,raciv,economy,What is the minimum staking period?,0.7784,0.9304,49.41,0.0,0.0416,0.1166,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T02:45:30+00:00
chaos_a8d6b16833b3,task-057,chaos,trust,How do I report a bad actor?,0.436,0.7019,33.34,0.3393,0.1745,0.1765,,,None,6,2026-02-20T02:48:00+00:00
raciv_1c59bb02ec1c,task-057,raciv,trust,How do I report a bad actor?,0.7619,0.6673,63.98,0.0819,0.036,0.0063,guardian,oracle,VALIDATED — guardian's response correctly addresses the trust query with accurat,2,2026-02-20T02:48:30+00:00
chaos_96e58d091a86,task-058,chaos,governance,Can I vote without staking?,0.4593,0.7359,23.98,0.257,0.3108,0.4099,,,None,6,2026-02-20T02:51:00+00:00
raciv_7fd118b0c945,task-058,raciv,governance,Can I vote without staking?,0.0,0.9094,37.16,0.1227,0.0815,0.0772,cto,guardian,FLAGGED — Response contains an inaccuracy about governance mechanics. Flat fee m,2,2026-02-20T02:51:30+00:00
chaos_449d31a70ab4,task-059,chaos,support,Why did my raid not get counted?,0.4618,0.6029,24.23,0.1757,0.4752,0.0819,,,None,6,2026-02-20T02:54:00+00:00
raciv_c87164cfdd69,task-059,raciv,support,Why did my raid not get counted?,0.7412,0.8408,48.09,0.0625,0.0573,0.0837,wizard,oracle,VALIDATED — wizard's response correctly addresses the support query with accurat,2,2026-02-20T02:54:30+00:00
chaos_4410e1770cab,task-060,chaos,economy,What is the BONZI flat fee per transaction?,0.0,0.0,32.35,0.1531,0.2298,0.1503,,,None,6,2026-02-20T02:57:00+00:00
raciv_0e397023184a,task-060,raciv,economy,What is the BONZI flat fee per transaction?,0.0,0.94,16.18,0.0917,0.0,0.0075,finance,oracle,FLAGGED — Response contains an inaccuracy about economy mechanics. Flat fee mode,2,2026-02-20T02:57:30+00:00
chaos_d29a149be227,task-061,chaos,economy,How do I claim my staking rewards?,0.3835,0.5139,26.21,0.354,0.2758,0.1917,,,None,6,2026-02-20T03:00:00+00:00
raciv_f3f90c3aaf35,task-061,raciv,economy,How do I claim my staking rewards?,0.6019,0.7516,44.07,0.1568,0.0832,0.0,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T03:00:30+00:00
chaos_d7d549b639cc,task-062,chaos,trust,Can I trust this new agent in our community?,0.4985,0.6891,5.0,0.2017,0.3206,0.1964,,,None,6,2026-02-20T03:03:00+00:00
raciv_d0b173319d0f,task-062,raciv,trust,Can I trust this new agent in our community?,0.6902,0.7696,30.51,0.1036,0.0786,0.0,guardian,oracle,VALIDATED — guardian's response correctly addresses the trust query with accurat,2,2026-02-20T03:03:30+00:00
chaos_d1afe88ec5b5,task-063,chaos,governance,What are the rules for submitting a governance proposal?,0.0,0.0,5.0,0.2877,0.1695,0.1727,,,None,6,2026-02-20T03:06:00+00:00
raciv_5c2e2ca5aae4,task-063,raciv,governance,What are the rules for submitting a governance proposal?,0.891,0.8364,45.61,0.058,0.0618,0.1103,cto,guardian,VALIDATED — cto's response correctly addresses the governance query with accurat,2,2026-02-20T03:06:30+00:00
chaos_f2c42bc88f6d,task-064,chaos,support,I'm stuck — the tip button isn't working.,0.3913,0.7469,12.01,0.3556,0.3078,0.1447,,,None,6,2026-02-20T03:09:00+00:00
raciv_da922add1ac1,task-064,raciv,support,I'm stuck — the tip button isn't working.,1.0,0.6956,34.23,0.1246,0.0889,0.0653,wizard,oracle,VALIDATED — wizard's response correctly addresses the support query with accurat,2,2026-02-20T03:09:30+00:00
chaos_f7119ed34d88,task-065,chaos,economy,How are flat fees calculated on Ethervista?,0.5357,0.7228,10.95,0.0805,0.1639,0.1815,,,None,6,2026-02-20T03:12:00+00:00
raciv_fe1e3abd5498,task-065,raciv,economy,How are flat fees calculated on Ethervista?,0.6187,0.6621,40.24,0.147,0.0249,0.095,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T03:12:30+00:00
chaos_dada347651f7,task-066,chaos,economy,What is the minimum staking period?,0.4956,0.3372,6.94,0.6906,0.3528,0.2754,,,None,6,2026-02-20T03:15:00+00:00
raciv_168114fa75ff,task-066,raciv,economy,What is the minimum staking period?,0.0,0.678,48.85,0.0788,0.1223,0.0323,finance,oracle,FLAGGED — Response contains an inaccuracy about economy mechanics. Flat fee mode,2,2026-02-20T03:15:30+00:00
